,name,code,indus,d2018,d2017,d2016,sfd,sf,
3,アイ?アールジャパンホールディングス,6035,サービス業,1445,1059,768,36.45%,37.89%,-0.038004751
3,ＯＢＡＲＡＧＲＯＵＰ,6877,電気機器,4274,3232,2718,32.24%,18.91%,0.704918033
3,大和ハウス工業,1925,建設業,250053,240628,237990,3.92%,1.11%,2.531531532
3,阪急阪神ホールディングス,9042,陸運業,47693,38806,38602,22.90%,0.53%,42.20754717
3,コーエーテクモホールディングス,3635,情報?通信業,16889,11189,8934,50.94%,25.24%,1.01822504
3,アリアケジャパン,2815,食料品,8998,8275,7838,8.74%,5.58%,0.566308244
3,ノジマ,7419,小売業,14035,11895,11193,17.99%,6.27%,1.869218501
3,神戸物産,3038,卸売業,19361,15527,12197,24.69%,27.30%,-0.095604396
3,大日本住友製薬,4506,医薬品,137853,87637,74568,57.30%,17.53%,2.268682259
3,新生銀行,8303,銀行業,36530,35872,27562,1.83%,30.15%,-0.939303483
