js_industryDT,last_,max_,_min,_stdev
J3105,0.0785,0.1287,-0.0013,0.004868
J6479,0.212,0.2572,-0.003,0.006288
J6501,0.1352,0.2572,-0.0131,0.029937
J6503,0.041,0.2572,-0.0398,0.005331
J6504,0.1529,0.2572,-0.0398,0.006209
J6506,0.0158,0.2572,-0.1173,0.017195
J6645,-0.0554,0.2572,-0.1203,0.012572
J6674,-0.0433,0.2572,-0.1203,0.009303
J6701,0.107,0.2572,-0.1203,0.005472
J6702,-0.0407,0.2572,-0.131,0.003802
J6703,0.0753,0.2572,-0.131,0.00705
J6724,0.055,0.2572,-0.131,0.020557
J6752,-0.0103,0.2572,-0.131,0.008165
J6758,0.1641,0.2572,-0.131,0.021353
J6762,-0.079,0.2572,-0.1885,0.018749
J6770,0.0248,0.2572,-0.1885,0.006481
J6841,-0.0655,0.2572,-0.1885,0.009863
J6857,0.1513,0.2572,-0.1885,0.033598
J6902,0.2008,0.2862,-0.1885,0.014298
J6952,0.1507,0.2862,-0.1885,0.006482
J6954,0.036,0.2862,-0.1885,0.023654
J6971,0.0382,0.2862,-0.1885,0.007349
J6976,-0.0824,0.2862,-0.1885,0.021727
J7735,0.2648,0.2862,-0.1885,0.039276
J7751,0.1537,0.2862,-0.1885,0.006824
J7752,0.5187,0.6413,-0.1885,0.011535
J8035,0.1595,0.6413,-0.1885,0.03301
