js_industryDT,last_,max_,_min,_stdev
J9962,0.0332,0.1535,-0.0269,0.013226
J9810,0.1262,0.19,-0.0271,0.019764
J8283,0.0354,0.19,-0.0796,0.022667
J8088,-0.0652,0.19,-0.1678,0.006956
J8058,0.1923,0.2262,-0.1678,0.009261
J8053,0.1355,0.2262,-0.1678,0.006156
J8031,0.1404,0.2262,-0.1678,0.007627
J8020,0.1396,0.2262,-0.1678,0.019613
J8015,0.0805,0.2262,-0.1678,0.022099
J8002,0.2784,0.3227,-0.1678,0.017572
J8001,0.1174,0.3227,-0.1678,0.006949
J7575,-0.014,0.3227,-0.1678,0.015328
J7459,0.1108,0.3227,-0.1678,0.012087
J7458,0.2565,0.3227,-0.1678,0.021296
J3543,0.0728,0.3227,-0.1678,0.016971
J3360,0.0532,0.3227,-0.1678,0.019028
J3167,0.0,0.3227,-0.1678,0.003935
J3107,0.0146,0.3227,-0.1678,0.021117
J3038,-0.0068,0.3227,-0.1678,0.014652
J2784,0.0916,0.3227,-0.1678,0.019858
J2768,0.3049,0.3374,-0.1678,0.017536
